danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.936,0.887,9,-2.76,0,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003,227239,4
0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,178206,4
0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,210373,4
0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,175459,4
0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,171292,4
0.849,0.699,1,-5.106,0,0.0436,0.0982,0.000215,0.068,0.927,138.003,155152,4
0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,274192,4
0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,218424,4
0.635,0.601,1,-6.129,0,0.0295,0.246,0.0,0.11,0.332,123.994,172533,4
0.669,0.586,9,-6.073,1,0.054,0.274,0.0,0.104,0.579,107.071,186365,4
0.525,0.488,0,-6.909,1,0.038,0.191,5.14e-05,0.135,0.253,84.999,194920,4
0.756,0.672,0,-6.743,1,0.0522,0.464,3.37e-06,0.108,0.739,114.935,171783,4
0.411,0.619,1,-6.834,1,0.0368,0.62,0.0,0.11,0.337,177.937,186192,4
0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,251424,4
0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,179587,4
0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,180304,3
0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,228965,4
0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,159246,4
0.587,0.735,6,-7.947,1,0.0746,0.0312,6.42e-05,0.0826,0.305,121.936,225973,4
0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689,3
0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,142515,4
0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04e-05,0.074,0.295,115.842,228639,4
0.931,0.411,8,-8.433,1,0.0711,0.165,5.26e-06,0.134,0.515,100.002,176027,4
0.894,0.66,11,-5.349,0,0.33,0.0243,0.0,0.139,0.181,148.072,142703,4
0.814,0.676,11,-4.67,0,0.231,0.00709,1.28e-05,0.119,0.312,162.012,267707,4
0.866,0.741,7,-4.66,1,0.245,0.0933,0.0,0.0297,0.614,135.07,124444,4
0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994,218005,4
0.882,0.764,11,-5.241,1,0.204,0.359,0.0,0.119,0.886,140.113,140733,4
0.634,0.761,5,-4.752,1,0.0472,0.00537,0.0,0.549,0.785,129.963,168454,4
0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,144000,4
0.646,0.668,2,-5.203,1,0.0282,0.491,0.0,0.212,0.64,90.969,148318,4
0.803,0.512,9,-6.871,0,0.066,0.128,0.0,0.0928,0.435,96.02,161342,4
0.756,0.722,3,-3.491,0,0.0652,0.0852,0.0,0.137,0.476,116.941,200256,4
0.572,0.722,6,-5.818,1,0.0363,0.512,1.12e-06,0.124,0.636,171.857,166040,4
0.487,0.658,5,-9.973,1,0.0296,0.00877,0.00777,0.1,0.282,142.18,210950,4
0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,201800,4
0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,161831,4
0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,227196,4
0.716,0.545,0,-6.949,0,0.0329,0.338,0.00344,0.101,0.82,98.232,207796,4
0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,159636,4
0.943,0.558,2,-4.911,1,0.0568,0.0026,2.19e-06,0.0937,0.606,104.983,138411,4
0.857,0.62,0,-8.13,1,0.0472,0.646,0.244,0.0934,0.796,120.042,133805,4
0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,270698,4
0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828,244685,4
